Year,Region,Country,"Nationality Wise Number Of Foreign Tourists Arrivals (Ftas) In India (UOM:Number), Scaling Factor:1","Nationality Wise Average Duration Of Stay By Foreign Tourists Arrivals (Ftas) In India (UOM:Day), Scaling Factor:1"
"Calendar Year (Jan - Dec), 2019",South Asia,Bangladesh,,13.9
"Calendar Year (Jan - Dec), 2019",South Asia,Bhutan,,16.0
"Calendar Year (Jan - Dec), 2019",South Asia,Iran,,19.8
"Calendar Year (Jan - Dec), 2019",South Asia,Maldives,,13.9
"Calendar Year (Jan - Dec), 2019",South Asia,Nepal,,21.9
"Calendar Year (Jan - Dec), 2019",South Asia,Pakistan,,29.9
"Calendar Year (Jan - Dec), 2019",South Asia,Sri Lanka,,11.1
"Calendar Year (Jan - Dec), 2019",South East Asia,Indonesia,,16.2
"Calendar Year (Jan - Dec), 2019",South East Asia,Malaysia,,10.2
"Calendar Year (Jan - Dec), 2019",South East Asia,Myanmar (Burma),,10.4
"Calendar Year (Jan - Dec), 2019",South East Asia,Others,,19.5
"Calendar Year (Jan - Dec), 2019",South East Asia,Phillippines,,12.2
"Calendar Year (Jan - Dec), 2019",South East Asia,Singapore,,10.3
"Calendar Year (Jan - Dec), 2019",South East Asia,Thailand,,14.4
"Calendar Year (Jan - Dec), 2019",South East Asia,Vietnam,,11.4
"Calendar Year (Jan - Dec), 2019",East Asia,China,,16.2
"Calendar Year (Jan - Dec), 2019",East Asia,Japan,,15.0
