Sl. No.,Districts/ States,Top 5 Commodities,Products/Services identified with Export Potential,Value of Export (in US$ Million)
92,Visakhapatnam (Andhra Pradesh),1. Engineering Goods,"Coconut based products, Alloy wheels, Cashew, Black Pepper, Sea foods, Turmeric, Honey, Handicrafts like Etikoppakka Toys, Minerals and Mineral Based Products (Apatite, Crystalline Lime Stone, Quartz, Vermiculite, White Clay, Ruby, Mica, Calcite, Red and Yellow Ochre), Silver Oak wood, Araku Coffee, Ginger Powder, Etikoppaka Toys",845.96
93,Visakhapatnam (Andhra Pradesh),2. Organic And Inorganic Chemicals,"Coconut based products, Alloy wheels, Cashew, Black Pepper, Sea foods, Turmeric, Honey, Handicrafts like Etikoppakka Toys, Minerals and Mineral Based Products (Apatite, Crystalline Lime Stone, Quartz, Vermiculite, White Clay, Ruby, Mica, Calcite, Red and Yellow Ochre), Silver Oak wood, Araku Coffee, Ginger Powder, Etikoppaka Toys",777.27
94,Visakhapatnam (Andhra Pradesh),3. Drugs And Pharmaceuticals,"Coconut based products, Alloy wheels, Cashew, Black Pepper, Sea foods, Turmeric, Honey, Handicrafts like Etikoppakka Toys, Minerals and Mineral Based Products (Apatite, Crystalline Lime Stone, Quartz, Vermiculite, White Clay, Ruby, Mica, Calcite, Red and Yellow Ochre), Silver Oak wood, Araku Coffee, Ginger Powder, Etikoppaka Toys",469.45
95,Visakhapatnam (Andhra Pradesh),4. Marine Products,"Coconut based products, Alloy wheels, Cashew, Black Pepper, Sea foods, Turmeric, Honey, Handicrafts like Etikoppakka Toys, Minerals and Mineral Based Products (Apatite, Crystalline Lime Stone, Quartz, Vermiculite, White Clay, Ruby, Mica, Calcite, Red and Yellow Ochre), Silver Oak wood, Araku Coffee, Ginger Powder, Etikoppaka Toys",239.71
96,Visakhapatnam (Andhra Pradesh),5. Petroleum Products,"Coconut based products, Alloy wheels, Cashew, Black Pepper, Sea foods, Turmeric, Honey, Handicrafts like Etikoppakka Toys, Minerals and Mineral Based Products (Apatite, Crystalline Lime Stone, Quartz, Vermiculite, White Clay, Ruby, Mica, Calcite, Red and Yellow Ochre), Silver Oak wood, Araku Coffee, Ginger Powder, Etikoppaka Toys",137.76
97,Total of top 5 commodities,Total of top 5 commodities,Total of top 5 commodities,2470.15
98,Total export of District,Total export of District,Total export of District,2755.02
99,Raigad (Maharashtra),1. Engineering Goods,"Iron & Steel Products, Chemicals, Pharmaceuticals, Engineering, Fisheries, Marine & Food Processing, Ganesh Idol (Handicraft), Transport and Logistics Services, Information Technology & Information Technology enabled Services (IT & ITeS), Tourism and Hospitality Services, Education Services",920.64
100,Raigad (Maharashtra),2. Organic And Inorganic Chemicals,"Iron & Steel Products, Chemicals, Pharmaceuticals, Engineering, Fisheries, Marine & Food Processing, Ganesh Idol (Handicraft), Transport and Logistics Services, Information Technology & Information Technology enabled Services (IT & ITeS), Tourism and Hospitality Services, Education Services",572.19
101,Raigad (Maharashtra),3. Drugs And Pharmaceuticals,"Iron & Steel Products, Chemicals, Pharmaceuticals, Engineering, Fisheries, Marine & Food Processing, Ganesh Idol (Handicraft), Transport and Logistics Services, Information Technology & Information Technology enabled Services (IT & ITeS), Tourism and Hospitality Services, Education Services",188.1
102,Raigad (Maharashtra),4. Plastic And Linoleum,"Iron & Steel Products, Chemicals, Pharmaceuticals, Engineering, Fisheries, Marine & Food Processing, Ganesh Idol (Handicraft), Transport and Logistics Services, Information Technology & Information Technology enabled Services (IT & ITeS), Tourism and Hospitality Services, Education Services",164.12
103,Raigad (Maharashtra),"5. Meat, Dairy And Poultry Products","Iron & Steel Products, Chemicals, Pharmaceuticals, Engineering, Fisheries, Marine & Food Processing, Ganesh Idol (Handicraft), Transport and Logistics Services, Information Technology & Information Technology enabled Services (IT & ITeS), Tourism and Hospitality Services, Education Services",153.49
104,Total of top 5 commodities,Total of top 5 commodities,Total of top 5 commodities,1998.54
105,Total export of District,Total export of District,Total export of District,2675.44
106,Chennai (Tamil Nadu),1. Engineering Goods,"Biotechnology, Food processing, Marine products, Jewellery products, Apparels, Software and software services",758.57
107,Chennai (Tamil Nadu),2. Petroleum Products,"Biotechnology, Food processing, Marine products, Jewellery products, Apparels, Software and software services",344.39
108,Chennai (Tamil Nadu),3. Leather And Leather Manufactures,"Biotechnology, Food processing, Marine products, Jewellery products, Apparels, Software and software services",294.42
109,Chennai (Tamil Nadu),4. Gems And Jewellery,"Biotechnology, Food processing, Marine products, Jewellery products, Apparels, Software and software services",259.32
110,Chennai (Tamil Nadu),5. Rmg Of All Textiles,"Biotechnology, Food processing, Marine products, Jewellery products, Apparels, Software and software services",148.16
111,Total of top 5 commodities,Total of top 5 commodities,Total of top 5 commodities,1804.86
112,Total export of District,Total export of District,Total export of District,2563.29
113,Dakshina Kannada (Karnataka),1. Petroleum Products,"Cashew nuts (Ullal 1,2,3) and Spices, Marine products, Jack Fruit, Plastic components, Light Engineering (Auto components, Electrical, Plastic machinery etc.), Tourism, Value added plastic items( Woven Sacks/FIBC), optical items, Moulded& extracted items, packaging items, plastic components.",1266.19
114,Dakshina Kannada (Karnataka),2. Organic And Inorganic Chemicals,"Cashew nuts (Ullal 1,2,3) and Spices, Marine products, Jack Fruit, Plastic components, Light Engineering (Auto components, Electrical, Plastic machinery etc.), Tourism, Value added plastic items( Woven Sacks/FIBC), optical items, Moulded& extracted items, packaging items, plastic components.",767.47
115,Dakshina Kannada (Karnataka),3. Iron Ore,"Cashew nuts (Ullal 1,2,3) and Spices, Marine products, Jack Fruit, Plastic components, Light Engineering (Auto components, Electrical, Plastic machinery etc.), Tourism, Value added plastic items( Woven Sacks/FIBC), optical items, Moulded& extracted items, packaging items, plastic components.",243.08
116,Dakshina Kannada (Karnataka),4. Marine Products,"Cashew nuts (Ullal 1,2,3) and Spices, Marine products, Jack Fruit, Plastic components, Light Engineering (Auto components, Electrical, Plastic machinery etc.), Tourism, Value added plastic items( Woven Sacks/FIBC), optical items, Moulded& extracted items, packaging items, plastic components.",52.6
117,Dakshina Kannada (Karnataka),5. Engineering Goods,"Cashew nuts (Ullal 1,2,3) and Spices, Marine products, Jack Fruit, Plastic components, Light Engineering (Auto components, Electrical, Plastic machinery etc.), Tourism, Value added plastic items( Woven Sacks/FIBC), optical items, Moulded& extracted items, packaging items, plastic components.",39.6
118,Total of top 5 commodities,Total of top 5 commodities,Total of top 5 commodities,2368.94
119,Total export of District,Total export of District,Total export of District,2488.41
120,East Godavari (Andhra Pradesh),1. Engineering Goods,"Coir and Coir Products, Rice, Sugar, Frozen Shrimp, Coir Fibre and Coir Pith, Uppada Jamdani Sarees",1495.16
121,East Godavari (Andhra Pradesh),2. Marine Products,"Coir and Coir Products, Rice, Sugar, Frozen Shrimp, Coir Fibre and Coir Pith, Uppada Jamdani Sarees",342.89
122,East Godavari (Andhra Pradesh),3. Rice,"Coir and Coir Products, Rice, Sugar, Frozen Shrimp, Coir Fibre and Coir Pith, Uppada Jamdani Sarees",305.78
123,East Godavari (Andhra Pradesh),4. Electronic Goods,"Coir and Coir Products, Rice, Sugar, Frozen Shrimp, Coir Fibre and Coir Pith, Uppada Jamdani Sarees",40.1
124,East Godavari (Andhra Pradesh),"5. Meat, Dairy And Poultry Products","Coir and Coir Products, Rice, Sugar, Frozen Shrimp, Coir Fibre and Coir Pith, Uppada Jamdani Sarees",13.05
125,Total of top 5 commodities,Total of top 5 commodities,Total of top 5 commodities,2196.98
126,Total export of District,Total export of District,Total export of District,2427.22
127,Gurugram (Haryana),1. Engineering Goods,Home Furnishing & Engineering Goods,1186.03
128,Gurugram (Haryana),2. Rmg Of All Textiles,Home Furnishing & Engineering Goods,533.66
129,Gurugram (Haryana),3. Electronic Goods,Home Furnishing & Engineering Goods,124.85
130,Gurugram (Haryana),4. Leather And Leather Manufactures,Home Furnishing & Engineering Goods,85.06
131,Gurugram (Haryana),"5. Cotton Yarn/Fabs./Madeups, Handloom Products Etc.",Home Furnishing & Engineering Goods,67.28
132,Total of top 5 commodities,Total of top 5 commodities,Total of top 5 commodities,1996.88
133,Total export of District,Total export of District,Total export of District,2366.98
134,Tiruppur (Tamil Nadu),1. Rmg Of All Textiles,Hosiery Garments & Apparels,1846.14
135,Tiruppur (Tamil Nadu),"2. Cotton Yarn/Fabs./Madeups, Handloom Products Etc.",Hosiery Garments & Apparels,178.14
136,Tiruppur (Tamil Nadu),3. Organic And Inorganic Chemicals,Hosiery Garments & Apparels,36.38
137,Tiruppur (Tamil Nadu),4. Engineering Goods,Hosiery Garments & Apparels,15.03
138,Tiruppur (Tamil Nadu),5. Plastic And Linoleum,Hosiery Garments & Apparels,8.57
139,Total of top 5 commodities,Total of top 5 commodities,Total of top 5 commodities,2084.26
140,Total export of District,Total export of District,Total export of District,2143.14
141,Kolkata (West Bengal),1. Gems And Jewellery,"Lychee, Malda Laxman Bhog Mango, Malda Khirsapati (Himsagar) Mango, Malda Fazli Mango",529.11
142,Kolkata (West Bengal),2. Engineering Goods,"Lychee, Malda Laxman Bhog Mango, Malda Khirsapati (Himsagar) Mango, Malda Fazli Mango",409.47
143,Kolkata (West Bengal),3. Leather And Leather Manufactures,"Lychee, Malda Laxman Bhog Mango, Malda Khirsapati (Himsagar) Mango, Malda Fazli Mango",263.21
144,Kolkata (West Bengal),4. Marine Products,"Lychee, Malda Laxman Bhog Mango, Malda Khirsapati (Himsagar) Mango, Malda Fazli Mango",149.71
145,Kolkata (West Bengal),5. Rmg Of All Textiles,"Lychee, Malda Laxman Bhog Mango, Malda Khirsapati (Himsagar) Mango, Malda Fazli Mango",84.64
146,Total of top 5 commodities,Total of top 5 commodities,Total of top 5 commodities,1436.14
147,Total export of District,Total export of District,Total export of District,2125.5
148,Vadodara (Gujarat),1. Engineering Goods,"Pharmaceuticals, Engineering",583.44
149,Vadodara (Gujarat),2. Organic And Inorganic Chemicals,"Pharmaceuticals, Engineering",461.69
150,Vadodara (Gujarat),3. Drugs And Pharmaceuticals,"Pharmaceuticals, Engineering",220.65
151,Vadodara (Gujarat),4. Petroleum Products,"Pharmaceuticals, Engineering",170.69
152,Vadodara (Gujarat),5. Plastic And Linoleum,"Pharmaceuticals, Engineering",127.52
